"study","cell_id","scenario","factor_changed","method","n","p","main_k","separation","main_structure","main_distribution","minority_ratio","q","minority_sd","minority_proximity","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","end_to_end_seconds"
"architecture",61,"M3","full_factorial","DBSCAN_full",1000,5,2,6,"spherical","normal",0.05,1,0.55,"isolated",9.79365738053521e-06,0.012610260974747,0.012610260974747,0.0133333333333333,0.986666666666667,0,0.0203933333332801
"architecture",62,"M3","full_factorial","DBSCAN_full",1000,5,2,10,"spherical","normal",0.05,1,0.55,"isolated",3.62794283399585e-06,0.980145176596175,0.980145176596175,1,0,0,0.0204066666666889
"architecture",63,"M3","full_factorial","DBSCAN_full",1000,5,2,6,"elliptical","normal",0.05,1,0.55,"isolated",5.88557465767323e-05,0.0624838565266043,0.0624838565266043,0.0666666666666667,0.933333333333333,0,0.0204666666666769
"architecture",64,"M3","full_factorial","DBSCAN_full",1000,5,2,10,"elliptical","normal",0.05,1,0.55,"isolated",3.22741919091154e-05,0.981896585012034,0.981896585012034,1,0,0,0.0202966666664967
"architecture",65,"M4","full_factorial","DBSCAN_full",500,2,2,6,"spherical","normal",0.05,2,0.2,"isolated",0.623693942880851,0.973178437662546,0.973407768062541,1,0.306666666666667,0.306666666666667,0.00269333333326358
"architecture",66,"M4","full_factorial","DBSCAN_full",500,2,2,10,"spherical","normal",0.05,2,0.2,"isolated",0.928767345775379,0.981715786143925,0.981613726287964,1,0.6,0.6,0.00258333333331393
"architecture",67,"M4","full_factorial","DBSCAN_full",500,2,2,6,"elliptical","normal",0.05,2,0.2,"isolated",0.0032283689796571,0.974001333352779,0.974138739242138,1,0.0566666666666667,0.0566666666666667,0.00262666666675311
"architecture",68,"M4","full_factorial","DBSCAN_full",500,2,2,10,"elliptical","normal",0.05,2,0.2,"isolated",0.932177070242364,0.97693241289416,0.976621978119346,1,0.553333333333333,0.553333333333333,0.00265666666656519
"architecture",69,"M4","full_factorial","DBSCAN_full",500,5,2,6,"spherical","normal",0.05,2,0.2,"isolated",3.66372238314258e-06,0.475078807133729,0.395944514164203,0.643333333333333,1.18,0,0.00858333333345702
"architecture",70,"M4","full_factorial","DBSCAN_full",500,5,2,10,"spherical","normal",0.05,2,0.2,"isolated",2.53112979171968e-06,0.988844456881823,0.989062891854846,1,0,0,0.00854666666660099
"architecture",71,"M4","full_factorial","DBSCAN_full",500,5,2,6,"elliptical","normal",0.05,2,0.2,"isolated",4.92379252971539e-05,0.822901219991143,0.770124525750962,0.966666666666667,0.406666666666667,0,0.00861666666684566
"architecture",72,"M4","full_factorial","DBSCAN_full",500,5,2,10,"elliptical","normal",0.05,2,0.2,"isolated",2.31226747679138e-05,0.987883231031585,0.988082549974504,1,0,0,0.00843666666665134
"architecture",73,"M4","full_factorial","DBSCAN_full",1000,2,2,6,"spherical","normal",0.05,2,0.2,"isolated",0.762004613323001,0.980273823936381,0.980362929397632,1,0.906666666666667,0.906666666666667,0.00457666666681083
"architecture",74,"M4","full_factorial","DBSCAN_full",1000,2,2,10,"spherical","normal",0.05,2,0.2,"isolated",0.9258679638858,0.982957552700336,0.982881075048374,1,1.24333333333333,1.24333333333333,0.00465666666665735
"architecture",75,"M4","full_factorial","DBSCAN_full",1000,2,2,6,"elliptical","normal",0.05,2,0.2,"isolated",0.00286142646823771,0.979012208892242,0.979063837263246,1,0.313333333333333,0.313333333333333,0.00453333333372332
"architecture",76,"M4","full_factorial","DBSCAN_full",1000,2,2,10,"elliptical","normal",0.05,2,0.2,"isolated",0.928412970915116,0.98235090978497,0.982253592363021,1,1.11333333333333,1.11333333333333,0.00463666666665328
"architecture",77,"M4","full_factorial","DBSCAN_full",1000,5,2,6,"spherical","normal",0.05,2,0.2,"isolated",2.05831295716972e-06,0.507712423205385,0.422696828698494,0.686666666666667,1.13333333333333,0,0.0207966666666107
"architecture",78,"M4","full_factorial","DBSCAN_full",1000,5,2,10,"spherical","normal",0.05,2,0.2,"isolated",-1.63141625669966e-06,0.992333042455688,0.992411381044381,1,0,0,0.0202299999998165
"architecture",79,"M4","full_factorial","DBSCAN_full",1000,5,2,6,"elliptical","normal",0.05,2,0.2,"isolated",4.07130249193053e-05,0.851610203125628,0.799137593249277,0.976666666666667,0.36,0,0.0197999999999593
"architecture",80,"M4","full_factorial","DBSCAN_full",1000,5,2,10,"elliptical","normal",0.05,2,0.2,"isolated",3.56430567538386e-05,0.992790742963063,0.992856678714059,1,0,0,0.0190666666665493
"architecture",1,"N0","full_factorial","HDBSCAN_full",500,2,2,6,"spherical","normal",0,0,0.2,"isolated",0.625570733428917,NA,NA,0.86,5.407,5.407,0.0119539999999999
"architecture",2,"N0","full_factorial","HDBSCAN_full",500,2,2,10,"spherical","normal",0,0,0.2,"isolated",0.870925218245306,NA,NA,0.741,2.345,2.345,0.00838999999999726
"architecture",3,"N0","full_factorial","HDBSCAN_full",500,2,2,6,"elliptical","normal",0,0,0.2,"isolated",0.23754194101681,NA,NA,0.821,8.992,8.992,0.00877400000000102
"architecture",4,"N0","full_factorial","HDBSCAN_full",500,2,2,10,"elliptical","normal",0,0,0.2,"isolated",0.82891193725777,NA,NA,0.814,3.099,3.099,0.00855100000000448
"architecture",5,"N0","full_factorial","HDBSCAN_full",500,5,2,6,"spherical","normal",0,0,0.2,"isolated",0.0196259235411825,NA,NA,0.03,0.03,0.03,0.0116750000000143
"architecture",6,"N0","full_factorial","HDBSCAN_full",500,5,2,10,"spherical","normal",0,0,0.2,"isolated",0.119860219840535,NA,NA,0.008,0.008,0.008,0.0114609999999907
"architecture",7,"N0","full_factorial","HDBSCAN_full",500,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.0128254980668971,NA,NA,0.035,0.035,0.035,0.0115129999999954
"architecture",8,"N0","full_factorial","HDBSCAN_full",500,5,2,10,"elliptical","normal",0,0,0.2,"isolated",0.0809484118365916,NA,NA,0.026,0.026,0.026,0.0114930000000004
"architecture",9,"N0","full_factorial","HDBSCAN_full",1000,2,2,6,"spherical","normal",0,0,0.2,"isolated",0.55041466793227,NA,NA,0.941,15.796,15.796,0.0275580000000255
"architecture",10,"N0","full_factorial","HDBSCAN_full",1000,2,2,10,"spherical","normal",0,0,0.2,"isolated",0.864039776233777,NA,NA,0.91,5.461,5.461,0.0272349999999706
"architecture",11,"N0","full_factorial","HDBSCAN_full",1000,2,2,6,"elliptical","normal",0,0,0.2,"isolated",0.113519377471977,NA,NA,0.871,22.422,22.422,0.0276620000000366
"architecture",12,"N0","full_factorial","HDBSCAN_full",1000,2,2,10,"elliptical","normal",0,0,0.2,"isolated",0.823943563317987,NA,NA,0.962,6.789,6.789,0.0270770000000084
"architecture",13,"N0","full_factorial","HDBSCAN_full",1000,5,2,6,"spherical","normal",0,0,0.2,"isolated",0.0297299796283394,NA,NA,0.095,0.101,0.101,0.0350779999999813
"architecture",14,"N0","full_factorial","HDBSCAN_full",1000,5,2,10,"spherical","normal",0,0,0.2,"isolated",0.200192402711863,NA,NA,0.003,0.004,0.004,0.0338950000000241
"architecture",15,"N0","full_factorial","HDBSCAN_full",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.0192703210029948,NA,NA,0.151,0.162,0.162,0.0352099999999846
"architecture",16,"N0","full_factorial","HDBSCAN_full",1000,5,2,10,"elliptical","normal",0,0,0.2,"isolated",0.121966185625,NA,NA,0.022,0.023,0.023,0.0342769999999437
"architecture",17,"M1","full_factorial","HDBSCAN_full",500,2,2,6,"spherical","normal",0.05,1,0.2,"isolated",0.456377466861242,0.846811471261569,0.846811471261569,0.926666666666667,1.14,1.07,0.0083800000000762
"architecture",18,"M1","full_factorial","HDBSCAN_full",500,2,2,10,"spherical","normal",0.05,1,0.2,"isolated",0.92423094864486,0.855759357280384,0.855759357280384,1,1.20666666666667,1.20666666666667,0.00839333333321216
"architecture",19,"M1","full_factorial","HDBSCAN_full",500,2,2,6,"elliptical","normal",0.05,1,0.2,"isolated",0.00517912137967472,0.815889839276258,0.815889839276258,0.903333333333333,0.22,0.123333333333333,0.00844666666664125
"architecture",20,"M1","full_factorial","HDBSCAN_full",500,2,2,10,"elliptical","normal",0.05,1,0.2,"isolated",0.853489744748037,0.849185958869852,0.849185958869852,1,1.33666666666667,1.33666666666667,0.0083533333332889
"architecture",21,"M1","full_factorial","HDBSCAN_full",500,5,2,6,"spherical","normal",0.05,1,0.2,"isolated",0.000143838472772727,0.76893017993092,0.76893017993092,0.786666666666667,0.213333333333333,0,0.0110466666667465
"architecture",22,"M1","full_factorial","HDBSCAN_full",500,5,2,10,"spherical","normal",0.05,1,0.2,"isolated",-7.68508296706395e-07,0.938284207876071,0.938284207876071,1,0,0,0.0109766666667322
"architecture",23,"M1","full_factorial","HDBSCAN_full",500,5,2,6,"elliptical","normal",0.05,1,0.2,"isolated",0.00153149142152334,0.893751914684553,0.893751914684553,0.916666666666667,0.0833333333333333,0,0.0110633333333196
"architecture",24,"M1","full_factorial","HDBSCAN_full",500,5,2,10,"elliptical","normal",0.05,1,0.2,"isolated",-1.2846860822419e-07,0.924591008868935,0.924591008868935,1,0,0,0.0109966666667727
"architecture",25,"M1","full_factorial","HDBSCAN_full",1000,2,2,6,"spherical","normal",0.05,1,0.2,"isolated",0.41014516249766,0.875847947563733,0.875847947563733,0.956666666666667,3.17333333333333,3.14666666666667,0.0268199999999221
"architecture",26,"M1","full_factorial","HDBSCAN_full",1000,2,2,10,"spherical","normal",0.05,1,0.2,"isolated",0.931967079655178,0.892040801846756,0.892040801846756,1,2.55333333333333,2.55333333333333,0.0267733333333429
"architecture",27,"M1","full_factorial","HDBSCAN_full",1000,2,2,6,"elliptical","normal",0.05,1,0.2,"isolated",0.005791566917819,0.845272438747547,0.845272438747547,0.96,0.623333333333333,0.623333333333333,0.0271033333332404
"architecture",28,"M1","full_factorial","HDBSCAN_full",1000,2,2,10,"elliptical","normal",0.05,1,0.2,"isolated",0.87358656228491,0.886721054726102,0.886721054726102,1,3.59666666666667,3.59666666666667,0.0268700000001991
"architecture",29,"M1","full_factorial","HDBSCAN_full",1000,5,2,6,"spherical","normal",0.05,1,0.2,"isolated",-3.15004706210312e-05,0.781865228944842,0.781865228944842,0.793333333333333,0.206666666666667,0,0.034036666666531
"architecture",30,"M1","full_factorial","HDBSCAN_full",1000,5,2,10,"spherical","normal",0.05,1,0.2,"isolated",-4.15957440335614e-07,0.954068936796016,0.954068936796016,1,0,0,0.0332399999997991
