"study","cell_id","comparator","NPairs","MajorARI_MeanAdvantage","MajorARI_MCSE","MinorityDetectionF1_MeanAdvantage","MinorityDetectionF1_MCSE","MinorityClusterF1_MeanAdvantage","MinorityClusterF1_MCSE","AnyMicroDiscovery_MeanAdvantage","AnyMicroDiscovery_MCSE","AbsQError_MeanAdvantage","AbsQError_MCSE","SpuriousExtraClusters_MeanAdvantage","SpuriousExtraClusters_MCSE","end_to_end_seconds_MeanAdvantage","end_to_end_seconds_MCSE"
"architecture",80,"Trimmed_kmeans",300,0.985456767149565,0.000405652082008974,0.806373445665994,0.0095216320606652,0.800895718009684,0.0101516072854347,-0.97,0.00986531371603149,1.9,0.0223980410036832,0,0,-1.72970333333345,0.01738394952792
"architecture",1,"DBSCAN_full",1000,0.31957307288688,0.0141889454285451,NA,NA,NA,NA,0.39,0.0177824693509146,0.577,0.0278360529861158,0.577,0.0278360529861158,-0.433385000000001,0.0215806227447926
"architecture",2,"DBSCAN_full",1000,-0.0258602939509052,0.00062086854261832,NA,NA,NA,NA,0.595,0.0156595089393065,0.849,0.0270727156364472,0.849,0.0270727156364472,-0.253778000000001,0.0104120408811772
"architecture",3,"DBSCAN_full",1000,0.840806731863671,0.00220154152959569,NA,NA,NA,NA,0.115,0.0135631470890409,0.146,0.0163386336929056,0.146,0.0163386336929056,-0.430549,0.0219048669659462
"architecture",4,"DBSCAN_full",1000,-0.000615992520160013,0.00482870585948159,NA,NA,NA,NA,0.51,0.0160048791359434,0.686,0.0246578995863803,0.686,0.0246578995863803,-0.358621000000002,0.0182202555709875
"architecture",5,"DBSCAN_full",1000,0.884205439217804,0.000430036479914148,NA,NA,NA,NA,0,0,0,0,0,0,-0.238634999999993,0.000438111534562464
"architecture",6,"DBSCAN_full",1000,0.956591480998622,0.000304293564087608,NA,NA,NA,NA,0,0,0,0,0,0,-0.238628000000008,0.000363499309143076
"architecture",7,"DBSCAN_full",1000,0.854999620596691,0.000710546217387566,NA,NA,NA,NA,0,0,0,0,0,0,-0.23817100000001,0.000351740643771588
"architecture",8,"DBSCAN_full",1000,0.95856860193292,0.000304836621170331,NA,NA,NA,NA,0,0,0,0,0,0,-0.239227999999988,0.000306600750193965
"architecture",9,"DBSCAN_full",1000,0.172087755432958,0.0121373196202113,NA,NA,NA,NA,0.8,0.0132731373900889,1.762,0.0415340954046321,1.762,0.0415340954046321,-0.604953999999998,0.028264249285479
"architecture",10,"DBSCAN_full",1000,-0.0289079832784767,0.000466597494405132,NA,NA,NA,NA,0.819,0.012181436179178,1.592,0.036917460623652,1.592,0.036917460623652,-0.492881000000034,0.0215020368436916
"architecture",11,"DBSCAN_full",1000,0.845527283054386,0.00127923979981475,NA,NA,NA,NA,0.573,0.0162768527650752,0.994,0.0344259952528485,0.994,0.0344259952528485,-0.596210999999907,0.0282396509958481
"architecture",12,"DBSCAN_full",1000,-0.0229040025837426,0.00193468262860759,NA,NA,NA,NA,0.754,0.0138446984682107,1.361,0.0347546671238107,1.361,0.0347546671238107,-0.608356999999987,0.030015032262397
