"study","cell_id","comparator","NPairs","MajorARI_MeanAdvantage","MajorARI_MCSE","MinorityDetectionF1_MeanAdvantage","MinorityDetectionF1_MCSE","MinorityClusterF1_MeanAdvantage","MinorityClusterF1_MCSE","AnyMicroDiscovery_MeanAdvantage","AnyMicroDiscovery_MCSE","AbsQError_MeanAdvantage","AbsQError_MCSE","SpuriousExtraClusters_MeanAdvantage","SpuriousExtraClusters_MCSE","end_to_end_seconds_MeanAdvantage","end_to_end_seconds_MCSE"
"stress",12,"DBSCAN_full",300,0.957990478426961,0.00557831274582184,-0.147603202424902,0.00711186309327688,-0.147603202424902,0.00711186309327688,0.0133333333333333,0.00663313753541497,-0.0133333333333333,0.00663313753541497,0,0,-2.01365666666665,0.0149362792361723
"stress",13,"DBSCAN_full",300,0.76953343233402,0.0213564824239509,0.453881335384062,0.0308662042540539,0.453881335384062,0.0308662042540539,-0.556666666666667,0.0320320120444379,0.556666666666667,0.0320320120444379,0,0,-1.57790999999997,0.0412052951660492
"stress",14,"DBSCAN_full",300,0.532234788958233,0.0188902231960777,0.245584638418154,0.0248209921620693,0.245584638418154,0.0248209921620693,-0.246666666666667,0.0249294806221008,0.246666666666667,0.0249294806221008,0,0,-0.411130000000082,0.000952154922610212
"stress",15,"DBSCAN_full",300,0.526450183081192,0.0166768644368534,0.191767107343779,0.0226548307621965,0.191767107343779,0.0226548307621965,-0.193333333333333,0.0228383556064765,0.193333333333333,0.0228383556064765,0,0,-0.408523333333269,0.000832939728677121
"stress",16,"DBSCAN_full",300,0.930976363646378,0.000871262261992975,-0.0516638006896143,0.020880680320855,-0.0516638006896143,0.020880680320855,-0.0833333333333333,0.0213576714569537,0.0833333333333333,0.0213576714569537,0,0,-1.46943333333334,0.0128518085027445
"stress",17,"DBSCAN_full",300,0.00605212726796229,0.000247200764745622,0.895945753637385,0.0172804828089486,0.895945753637385,0.0172804828089486,-0.893333333333333,0.0178519448823718,0.893333333333333,0.0178519448823718,0,0,-0.456643333333365,0.00107213015163556
"stress",18,"DBSCAN_full",300,0.897556533223009,0.000916415824308827,0.250414497197344,0.0232845347482506,0.250414497197344,0.0232845347482506,-0.31,0.0267466748472519,0.31,0.0267466748472519,0,0,-2.69388000000004,0.00805857574465754
"stress",19,"DBSCAN_full",300,0.901736001047759,0.00087835872939245,0.272430178218111,0.0273320958499939,0.272430178218111,0.0273320958499939,-0.403333333333333,0.0283701970169599,0.403333333333333,0.0283701970169599,0,0,-2.39415333333331,0.00784809014442265
"stress",20,"DBSCAN_full",300,0.924240159620625,0.000934506552757592,-0.0884081779856211,0.0179136229595027,-0.0536720988305654,0.020917737988163,0.0733333333333333,0.0171512605263869,0.05,0.0445777914120864,0,0,-1.77432333333336,0.0240867161650379
"stress",21,"DBSCAN_full",300,0.86570571598473,0.000821451795921979,0.0821590542291309,0.0126824205914902,0.0310999200233439,0.00830921374732945,-0.256666666666667,0.0252604419873105,0.256666666666667,0.0252604419873105,0,0,-2.48707333333337,0.00872995099896999
